batter,phase,runs,balls,dismissals,strike_rate,avg
A Ashish Reddy,Death,214,146,14,146.58,15.29
A Badoni,Death,519,316,22,164.24,23.59
A Badoni,Middle,510,399,16,127.82,31.88
A Manohar,Middle,132,123,6,107.32,22.0
A Mhatre,Powerplay,245,132,8,185.61,30.62
A Mishra,Death,260,250,24,104.0,10.83
A Mishra,Middle,120,164,6,73.17,20.0
A Raghuvanshi,Middle,350,244,11,143.44,31.82
A Raghuvanshi,Powerplay,217,139,4,156.12,54.25
A Symonds,Death,293,184,12,159.24,24.42
A Symonds,Middle,609,484,13,125.83,46.85
AA Jhunjhunwala,Middle,124,125,6,99.2,20.67
AB de Villiers,Death,1868,838,40,222.91,46.7
AB de Villiers,Middle,2572,1959,63,131.29,40.83
AB de Villiers,Powerplay,741,614,22,120.68,33.68
AC Gilchrist,Middle,621,430,27,144.42,23.0
AC Gilchrist,Powerplay,1385,1033,48,134.08,28.85
AD Mathews,Death,425,276,22,153.99,19.32
AD Mathews,Middle,289,282,9,102.48,32.11
AD Russell,Death,1432,731,57,195.9,25.12
AD Russell,Middle,1182,777,34,152.12,34.76
AJ Finch,Death,282,179,14,157.54,20.14
AJ Finch,Middle,899,659,30,136.42,29.97
AJ Finch,Powerplay,911,797,40,114.3,22.78
AK Markram,Death,242,136,10,177.94,24.2
AK Markram,Middle,848,654,28,129.66,30.29
AK Markram,Powerplay,470,355,13,132.39,36.15
AL Menaria,Middle,296,268,12,110.45,24.67
AM Nayar,Death,310,197,20,157.36,15.5
AM Nayar,Middle,297,307,15,96.74,19.8
AM Rahane,Death,509,323,22,157.59,23.14
AM Rahane,Middle,2038,1665,73,122.4,27.92
AM Rahane,Powerplay,2637,2139,75,123.28,35.16
AP Tare,Powerplay,226,202,13,111.88,17.38
AR Patel,Death,967,627,51,154.23,18.96
AR Patel,Middle,880,744,36,118.28,24.44
AS Raut,Death,120,103,7,116.5,17.14
AT Rayudu,Death,1179,698,57,168.91,20.68
AT Rayudu,Middle,2392,1979,72,120.87,33.22
