batter,phase,runs,balls,dismissals,strike_rate,avg
A Badoni,Middle,95,73,4,130.14,23.75
A Badoni,Powerplay,53,36,2,147.22,26.5
A Kamboj,Death,39,30,0,130.0,39.0
A Mhatre,Middle,97,53,1,183.02,97.0
A Mhatre,Powerplay,98,53,4,184.91,24.5
A Raghuvanshi,Middle,136,96,3,141.67,45.33
A Raghuvanshi,Powerplay,105,83,3,126.51,35.0
AK Markram,Middle,51,45,3,113.33,17.0
AK Markram,Powerplay,120,88,5,136.36,24.0
AM Rahane,Middle,94,69,4,136.23,23.5
AM Rahane,Powerplay,111,87,4,127.59,27.75
Abdul Samad,Middle,54,50,2,108.0,27.0
Abhishek Sharma,Middle,136,71,6,191.55,22.67
Abhishek Sharma,Powerplay,319,138,5,231.16,63.8
Aniket Verma,Death,63,33,3,190.91,21.0
Ashutosh Sharma,Death,53,30,2,176.67,26.5
B Sai Sudharsan,Middle,175,98,2,178.57,87.5
B Sai Sudharsan,Powerplay,196,139,6,141.01,32.67
C Connolly,Middle,211,117,5,180.34,42.2
C Connolly,Powerplay,91,75,2,121.33,45.5
C Green,Middle,119,68,3,175.0,39.67
C Green,Powerplay,48,37,1,129.73,48.0
D Brevis,Middle,48,41,3,117.07,16.0
D Ferreira,Death,113,53,4,213.21,28.25
D Ferreira,Middle,102,65,1,156.92,102.0
D Padikkal,Middle,159,91,7,174.73,22.71
D Padikkal,Powerplay,157,84,1,186.9,157.0
DA Miller,Death,73,35,1,208.57,73.0
DA Miller,Middle,46,41,3,112.2,15.33
Dhruv Jurel,Middle,163,112,5,145.54,32.6
Dhruv Jurel,Powerplay,73,51,3,143.14,24.33
FH Allen,Powerplay,110,55,6,200.0,18.33
H Klaasen,Death,181,101,7,179.21,25.86
H Klaasen,Middle,309,204,2,151.47,154.5
HH Pandya,Death,79,56,4,141.07,19.75
HH Pandya,Middle,58,45,2,128.89,29.0
Himmat Singh,Death,54,30,1,180.0,54.0
Ishan Kishan,Middle,282,151,6,186.75,47.0
Ishan Kishan,Powerplay,115,64,2,179.69,57.5
J Overton,Death,89,56,5,158.93,17.8
J Overton,Middle,47,30,0,156.67,47.0
JC Buttler,Middle,191,131,5,145.8,38.2
JC Buttler,Powerplay,123,72,1,170.83,123.0
JG Bethell,Powerplay,43,31,4,138.71,10.75
JM Sharma,Middle,43,38,6,113.16,7.17
KL Rahul,Death,68,30,3,226.67,22.67
KL Rahul,Middle,212,106,2,200.0,106.0
KL Rahul,Powerplay,165,110,5,150.0,33.0
Kartik Sharma,Death,62,36,2,172.22,31.0
Kartik Sharma,Middle,82,78,3,105.13,27.33
M Jansen,Death,45,33,3,136.36,15.0
MD Choudhary,Death,107,69,4,155.07,26.75
MD Choudhary,Middle,49,38,1,128.95,49.0
MP Stoinis,Death,117,50,2,234.0,58.5
MP Stoinis,Middle,39,33,2,118.18,19.5
MR Marsh,Middle,135,92,4,146.74,33.75
MR Marsh,Powerplay,224,142,5,157.75,44.8
N Pooran,Middle,120,107,9,112.15,13.33
N Rana,Middle,128,68,4,188.24,32.0
N Rana,Powerplay,70,63,3,111.11,23.33
N Wadhera,Middle,44,39,3,112.82,14.67
Naman Dhir,Death,49,31,3,158.06,16.33
Naman Dhir,Middle,135,93,4,145.16,33.75
Naman Dhir,Powerplay,72,46,1,156.52,72.0
Nithish Kumar Reddy,Death,102,47,5,217.02,20.4
Nithish Kumar Reddy,Middle,119,80,1,148.75,119.0
P Nissanka,Powerplay,204,121,6,168.6,34.0
P Simran Singh,Middle,147,87,5,168.97,29.4
P Simran Singh,Powerplay,216,123,3,175.61,72.0
PD Salt,Middle,84,45,3,186.67,28.0
PD Salt,Powerplay,118,75,3,157.33,39.33
Priyansh Arya,Powerplay,222,89,6,249.44,37.0
Q de Kock,Middle,67,36,0,186.11,67.0
Q de Kock,Powerplay,35,32,2,109.38,17.5
R Parag,Middle,154,104,6,148.08,25.67
R Parag,Powerplay,39,32,1,121.88,39.0
R Powell,Death,54,31,0,174.19,54.0
R Powell,Middle,52,46,3,113.04,17.33
R Shepherd,Middle,49,33,2,148.48,24.5
R Tewatia,Death,38,33,1,115.15,38.0
R Tewatia,Middle,40,32,2,125.0,20.0
RA Jadeja,Death,64,45,3,142.22,21.33
RA Jadeja,Middle,71,63,0,112.7,71.0
RD Gaikwad,Middle,84,77,2,109.09,42.0
RD Gaikwad,Powerplay,134,113,6,118.58,22.33
RD Rickelton,Middle,166,76,3,218.42,55.33
RD Rickelton,Powerplay,190,110,3,172.73,63.33
RG Sharma,Middle,90,51,3,176.47,30.0
RG Sharma,Powerplay,131,76,2,172.37,65.5
RK Singh,Death,137,70,1,195.71,137.0
RK Singh,Middle,100,93,4,107.53,25.0
RM Patidar,Middle,237,103,5,230.1,47.4
RM Patidar,Powerplay,27,30,0,90.0,27.0
RR Pant,Death,67,31,1,216.13,67.0
RR Pant,Middle,121,87,4,139.08,30.25
RR Pant,Powerplay,49,52,2,94.23,24.5
Ramandeep Singh,Middle,31,40,3,77.5,10.33
S Arora,Death,78,43,4,181.4,19.5
S Dube,Death,75,48,2,156.25,37.5
S Dube,Middle,74,58,3,127.59,24.67
SA Yadav,Middle,137,90,5,152.22,27.4
SA Yadav,Powerplay,48,37,3,129.73,16.0
SE Rutherford,Death,62,31,1,200.0,62.0
SN Khan,Middle,51,41,3,124.39,17.0
SN Khan,Powerplay,83,44,2,188.64,41.5
SO Hetmyer,Middle,47,40,2,117.5,23.5
SS Iyer,Death,103,50,4,206.0,25.75
SS Iyer,Middle,198,127,2,155.91,99.0
SV Samson,Death,72,36,1,200.0,72.0
SV Samson,Middle,166,96,1,172.92,166.0
SV Samson,Powerplay,164,108,6,151.85,27.33
Sameer Rizvi,Death,63,34,2,185.29,31.5
Sameer Rizvi,Middle,177,109,2,162.39,88.5
Shubman Gill,Middle,149,107,3,139.25,49.67
Shubman Gill,Powerplay,203,120,3,169.17,67.67
Suryansh Shedge,Middle,75,41,1,182.93,75.0
T Stubbs,Death,104,69,3,150.72,34.67
T Stubbs,Middle,133,103,0,129.13,133.0
TH David,Death,118,50,2,236.0,59.0
TH David,Middle,114,67,2,170.15,57.0
TM Head,Middle,73,43,6,169.77,12.17
TM Head,Powerplay,288,164,5,175.61,57.6
Tilak Varma,Death,97,38,4,255.26,24.25
Tilak Varma,Middle,82,69,3,118.84,27.33
V Kohli,Middle,139,92,3,151.09,46.33
V Kohli,Powerplay,222,135,5,164.44,44.4
V Suryavanshi,Middle,81,38,5,213.16,16.2
V Suryavanshi,Powerplay,323,132,5,244.7,64.6
Washington Sundar,Death,91,57,2,159.65,45.5
Washington Sundar,Middle,98,72,4,136.11,24.5
YBK Jaiswal,Middle,111,76,3,146.05,37.0
YBK Jaiswal,Powerplay,201,120,5,167.5,40.2
