batter,bowler_type,runs,balls,strike_rate
A Badoni,Pace,98,61,160.66
A Badoni,Spin,74,61,121.31
A Kamboj,Pace,38,26,146.15
A Kamboj,Spin,1,4,25.0
A Mhatre,Pace,160,83,192.77
A Mhatre,Spin,41,30,136.67
A Raghuvanshi,Pace,178,125,142.4
A Raghuvanshi,Spin,90,70,128.57
AK Markram,Pace,166,112,148.21
AK Markram,Spin,59,49,120.41
AM Rahane,Pace,119,95,125.26
AM Rahane,Spin,86,61,140.98
AR Patel,Pace,21,24,87.5
AR Patel,Spin,12,13,92.31
Abdul Samad,Pace,51,36,141.67
Abdul Samad,Spin,21,29,72.41
Abhishek Sharma,Pace,350,172,203.49
Abhishek Sharma,Spin,125,54,231.48
Aniket Verma,Pace,53,36,147.22
Aniket Verma,Spin,26,18,144.44
Ashutosh Sharma,Pace,55,32,171.88
Ashutosh Sharma,Spin,17,8,212.5
B Kumar,Pace,27,21,128.57
B Kumar,Spin,0,3,0.0
B Sai Sudharsan,Pace,246,169,145.56
B Sai Sudharsan,Spin,139,74,187.84
C Connolly,Pace,216,132,163.64
C Connolly,Spin,161,88,182.95
C Green,Pace,123,80,153.75
C Green,Spin,76,51,149.02
D Brevis,Pace,21,23,91.3
D Brevis,Spin,43,30,143.33
D Ferreira,Pace,154,86,179.07
D Ferreira,Spin,75,43,174.42
D Padikkal,Pace,245,125,196.0
D Padikkal,Spin,71,50,142.0
DA Miller,Pace,106,74,143.24
DA Miller,Spin,17,10,170.0
Dhruv Jurel,Pace,209,132,158.33
Dhruv Jurel,Spin,81,60,135.0
FH Allen,Pace,88,46,191.3
FH Allen,Spin,22,9,244.44
GD Phillips,Pace,47,37,127.03
GD Phillips,Spin,20,17,117.65
H Klaasen,Pace,328,209,156.94
H Klaasen,Spin,166,105,158.1
HH Pandya,Pace,105,80,131.25
HH Pandya,Spin,41,27,151.85
Himmat Singh,Pace,51,40,127.5
Himmat Singh,Spin,24,17,141.18
Ishan Kishan,Pace,293,156,187.82
Ishan Kishan,Spin,116,63,184.13
J Overton,Pace,115,69,166.67
J Overton,Spin,21,17,123.53
JC Buttler,Pace,196,129,151.94
JC Buttler,Spin,139,90,154.44
JG Bethell,Pace,43,31,138.71
JM Sharma,Pace,28,37,75.68
JM Sharma,Spin,36,22,163.64
K Rabada,Pace,30,23,130.43
K Rabada,Spin,5,7,71.43
KH Pandya,Pace,56,31,180.65
KH Pandya,Spin,12,17,70.59
KL Rahul,Pace,327,177,184.75
KL Rahul,Spin,118,69,171.01
Kartik Sharma,Pace,85,68,125.0
Kartik Sharma,Spin,68,52,130.77
LS Livingstone,Pace,9,21,42.86
LS Livingstone,Spin,6,4,150.0
M Jansen,Pace,29,29,100.0
M Jansen,Spin,20,9,222.22
M Shahrukh Khan,Pace,26,21,123.81
M Shahrukh Khan,Spin,17,12,141.67
MD Choudhary,Pace,110,70,157.14
